time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2000000000000006,-0.2592557723275179,0.2965785664087132,11.518966570864613,0.10836735433269151,0.18899951040439333,0.0,-0.906188449235398,0.7596756100307401,2.5486133329102882,0.04687995708480271,0.20279058790669915,0.0,483.5760049489919,483.1950628522167,484.32438393164017,483.4845317542092
1.2600000000000007,-0.31726186721588834,0.3441770545926807,11.672765784680205,0.11134750579705965,0.20547809404554052,0.0,-1.0288664625722004,0.8271566749748316,2.5775340289913564,0.041040410880624,0.17881252824395483,0.0,427.6248642541886,425.6163314689794,426.3705675554522,425.8726372634007
1.3200000000000007,-0.3838230106646127,0.3963665698479692,11.832486254633947,0.11905189725564203,0.21726395627520834,0.0,-1.1910851875521555,0.913227289192692,2.7455685561697805,0.06494943193542017,0.16628458332386162,0.0,473.0841691357109,472.1459535654436,470.1793096092913,472.02936879033825
1.3800000000000008,-0.45950399741761333,0.45340014123364875,11.998293135841198,0.12293957233921482,0.22755592498847133,0.0,-1.3325530227411648,0.9881852315657019,2.780852368169071,0.064320037602276,0.15882011629439535,0.0,432.2984249783514,431.6954259808412,431.0305707762612,430.98059957585286
1.4400000000000008,-0.5440778343676734,0.5151170767826025,12.167035911855034,0.13073869281547879,0.23788563131154294,0.0,-1.4875418743205742,1.069695119279814,2.8432595372417286,0.08489645228198295,0.1477447588770553,0.0,441.230791421417,440.33847626274854,441.5500523958507,443.2482791056297
1.5000000000000009,-0.6384255016174529,0.582029348343391,12.340493751139245,0.14375227816884006,0.25080409334815457,0.0,-1.6585952177952887,1.1619477098948083,2.9377108154383302,0.05284447148891198,0.16863207893007087,0.0,453.73443272204065,455.4302899993268,453.7663618984593,451.1902325212
1.560000000000001,-0.7431934037782864,0.6546337674195684,12.51911176073743,0.147144928178502,0.2609550113600321,0.0,-1.8346086636078565,1.2584190661544747,3.015490937779858,0.046345270427757525,0.1697551480121038,0.0,449.47187725434134,449.5898889759539,450.9821349396849,450.4584519725651
1.620000000000001,-0.8596211724185141,0.7335650486225527,12.705569399531115,0.1511807795281186,0.27239171517262584,0.0,-2.047451489282483,1.372875656461361,3.198545366494398,0.057476126420131154,0.18086699014708454,0.0,484.4409444053506,485.30194971705197,484.0601317560042,484.89841573105576
1.680000000000001,-0.9879054961514218,0.8188073326680382,12.898745513764018,0.15639531353466563,0.283247556820597,0.0,-2.2296596126560977,1.4689046049590508,3.239899330801088,0.04166909419914888,0.17828680551551554,0.0,442.09528906158994,441.9141397942716,443.5767027724632,442.27843095605766
1.740000000000001,-1.128492475593616,0.9105053797230328,13.098209967426577,0.16073948340017008,0.29394876498380107,0.0,-2.457590292909413,1.587943122569246,3.40761404501985,0.05539276674196417,0.1756989588715804,0.0,484.3454572945009,484.1783055868278,483.87408725972375,484.90726184016137
1.8000000000000012,-1.2814287336239532,1.0085945646002499,13.302516331364787,0.16641412631354502,0.30458657765081476,0.0,-2.641194645195109,1.6820452349932775,3.4019318873738507,0.07103194538384588,0.17089948421835968,0.0,430.99028625931993,430.61463084246134,430.77973023218345,432.1030291861161
